Age Group,Gender,Marital Status,Number of Dependents,Education Level,Employment Type,Employment Duration,Monthly Income,Existing Loan Status,Monthly Loan Repayment,Loan Type,Requested Loan Amount,Loan Purpose,Collateral Availability,Guarantor Availability,Required Documents Submitted,Loan Application Result
35–44,Male,Prefer not to say,5 or more,Other,Unemployed,Not employed/business,"Below Rs.50,000",Yes,"Rs.75,000–99,999",Business,"Rs.5,000,000–9,999,999",Business investment,No,No,"No, some missing",Rejected
35–44,Female,Married,0,Postgraduate degree,Retired,Not employed/business,"Rs.100,000–149,999",Yes,"Rs.10,000–24,999",Personal,"Rs.500,000–999,999",Medical expenses,No,No,"Yes, all",Rejected
35–44,Male,Married,0,Diploma,Private-sector employee,Less than 1 year,"Rs.150,000–249,999",Yes,"Below Rs.10,000",Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
35–44,Male,Married,1,Secondary,Self-employed,3–5 years,"Rs.150,000–249,999",No,No existing loan,Agricultural,"Rs.500,000–999,999",Agriculture,Yes,Yes,Not sure,Approved
25–34,Female,Single,2,Diploma,Private-sector employee,6–10 years,"Rs.150,000–249,999",Yes,"Below Rs.10,000",Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
55–64,Female,Married,2,Postgraduate degree,Private-sector employee,More than 10 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Business,"Rs.5,000,000–9,999,999",Business investment,Yes,Yes,"Yes, all",Approved
35–44,Female,Married,1,Undergraduate degree,Unemployed,Not employed/business,"Below Rs.50,000",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Debt consolidation,No,No,"No, some missing",Rejected
65 or above,Male,Married,3,Diploma,Self-employed,3–5 years,"Rs.150,000–249,999",Yes,"Rs.50,000–74,999",Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,Yes,"Yes, all",Approved
55–64,Female,Married,0,Undergraduate degree,Business owner,6–10 years,"Rs.1,000,000 or above",No,No existing loan,Vehicle,"Rs.500,000–999,999",Vehicle purchase,Yes,Yes,"Yes, all",Approved
45–54,Female,Single,2,Diploma,Contract employee,3–5 years,"Rs.150,000–249,999",Yes,"Rs.50,000–74,999",Business,"Rs.10,000,000–24,999,999",Business investment,Yes,Yes,"Yes, all",Rejected
45–54,Female,Divorced,2,Undergraduate degree,Retired,Not employed/business,"Rs.150,000–249,999",Yes,"Rs.50,000–74,999",Personal,"Rs.500,000–999,999",Medical expenses,Not applicable / Not required,No,"Yes, all",Approved
55–64,Female,Married,3,Diploma,Unemployed,Not employed/business,"Rs.100,000–149,999",No,No existing loan,Housing,"Rs.50,000,000–74,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
35–44,Male,Married,1,Secondary,Unemployed,Not employed/business,"Rs.50,000–99,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
55–64,Female,Married,4,Diploma,Unemployed,Not employed/business,"Below Rs.50,000",No,No existing loan,Agricultural,"Rs.25,000,000–49,999,999",Agriculture,Yes,No,"Yes, all",Rejected
55–64,Male,Single,0,Secondary,Retired,Not employed/business,"Rs.250,000–399,999",No,No existing loan,Vehicle,"Below Rs.500,000",Vehicle purchase,No,No,"Yes, all",Approved
25–34,Female,Widowed,2,Diploma,Self-employed,3–5 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Education,"Rs.1,000,000–4,999,999",Education,Yes,Yes,"Yes, all",Approved
55–64,Male,Married,3,Diploma,Unemployed,Not employed/business,"Rs.100,000–149,999",Yes,"Rs.10,000–24,999",Housing,"Rs.5,000,000–9,999,999",House purchase/construction,Yes,No,"No, some missing",Rejected
25–34,Male,Married,2,Undergraduate degree,Self-employed,6–10 years,"Rs.100,000–149,999",No,No existing loan,Personal,"Rs.5,000,000–9,999,999",Medical expenses,Yes,No,"Yes, all",Rejected
45–54,Female,Prefer not to say,0,Other,Unemployed,Not employed/business,"Rs.50,000–99,999",Yes,"Rs.10,000–24,999",Other,"Below Rs.500,000",Agriculture,No,No,"Yes, all",Rejected
45–54,Female,Married,3,Undergraduate degree,Business owner,More than 10 years,"Rs.150,000–249,999",Yes,"Rs.50,000–74,999",Personal,"Rs.1,000,000–4,999,999",Personal expenses,Yes,No,"Yes, all",Approved
35–44,Male,Single,4,Diploma,Business owner,6–10 years,"Rs.100,000–149,999",No,No existing loan,Business,"Rs.1,000,000–4,999,999",Business investment,Yes,No,"Yes, all",Approved
25–34,Female,Married,2,Undergraduate degree,Self-employed,Less than 1 year,"Rs.400,000–599,999",No,No existing loan,Housing,"Rs.50,000,000–74,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
55–64,Female,Single,0,Postgraduate degree,Private-sector employee,More than 10 years,"Rs.150,000–249,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,Yes,Yes,"Yes, all",Approved
Below 25,Male,Divorced,1,Undergraduate degree,Government employee,More than 10 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Housing,"Rs.10,000,000–24,999,999",House purchase/construction,No,No,"Yes, all",Rejected
35–44,Male,Married,0,Diploma,Private-sector employee,3–5 years,"Rs.50,000–99,999",No,No existing loan,Other,"Below Rs.500,000",Debt consolidation,Yes,Yes,"Yes, all",Approved
45–54,Female,Married,1,Diploma,Private-sector employee,1–2 years,"Rs.50,000–99,999",Yes,"Rs.50,000–74,999",Business,"Rs.10,000,000–24,999,999",Business investment,Yes,Yes,"No, some missing",Rejected
35–44,Female,Single,0,No formal education,Private-sector employee,1–2 years,"Rs.150,000–249,999",Yes,"Rs.10,000–24,999",Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,Yes,Not sure,Rejected
25–34,Male,Single,0,Undergraduate degree,Private-sector employee,Less than 1 year,"Rs.250,000–399,999",Yes,"Rs.25,000–49,999",Agricultural,"Below Rs.500,000",Agriculture,No,No,"Yes, all",Approved
25–34,Male,Single,3,Undergraduate degree,Government employee,3–5 years,"Rs.100,000–149,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
35–44,Female,Married,0,Postgraduate degree,Contract employee,More than 10 years,"Rs.100,000–149,999",Yes,"Below Rs.10,000",Vehicle,"Rs.5,000,000–9,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
35–44,Male,Married,0,Other,Private-sector employee,6–10 years,"Rs.150,000–249,999",Yes,"Rs.50,000–74,999",Business,"Rs.50,000,000–74,999,999",Business investment,Yes,No,"Yes, all",Rejected
35–44,Male,Married,3,Diploma,Private-sector employee,6–10 years,"Rs.100,000–149,999",No,No existing loan,Agricultural,"Rs.500,000–999,999",Agriculture,No,Yes,"Yes, all",Approved
25–34,Male,Married,3,Postgraduate degree,Contract employee,3–5 years,"Rs.150,000–249,999",No,No existing loan,Housing,"Rs.1,000,000–4,999,999",House purchase/construction,No,No,"Yes, all",Approved
Below 25,Female,Married,0,Undergraduate degree,Private-sector employee,6–10 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Other,"Rs.1,000,000–4,999,999",Medical expenses,No,Yes,"Yes, all",Approved
45–54,Prefer not to say,Married,2,Undergraduate degree,Private-sector employee,Less than 1 year,"Rs.150,000–249,999",No,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,No,"Yes, all",Approved
45–54,Female,Married,2,Undergraduate degree,Unemployed,Not employed/business,"Rs.50,000–99,999",Yes,"Below Rs.10,000",Business,"Rs.10,000,000–24,999,999",Business investment,Yes,Yes,"Yes, all",Rejected
45–54,Male,Married,1,Secondary,Private-sector employee,6–10 years,"Rs.100,000–149,999",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Personal expenses,No,Yes,"Yes, all",Rejected
35–44,Male,Married,3,Diploma,Other,More than 10 years,"Rs.150,000–249,999",Yes,"Rs.100,000+",Business,"Rs.1,000,000–4,999,999",Business investment,Yes,No,"Yes, all",Rejected
25–34,Female,Married,0,Diploma,Business owner,6–10 years,"Rs.100,000–149,999",No,No existing loan,Education,"Below Rs.500,000",Education,No,No,Not sure,Approved
65 or above,Male,Single,0,Undergraduate degree,Private-sector employee,More than 10 years,"Rs.600,000–999,999",Yes,"Rs.25,000–49,999",Personal,"Rs.5,000,000–9,999,999",Debt consolidation,Yes,No,"Yes, all",Approved
45–54,Female,Single,0,Diploma,Private-sector employee,More than 10 years,"Rs.250,000–399,999",No,No existing loan,Personal,"Rs.10,000,000–24,999,999",Other,Yes,No,"Yes, all",Approved
35–44,Prefer not to say,Married,2,Diploma,Business owner,3–5 years,"Rs.50,000–99,999",No,No existing loan,Personal,"Below Rs.500,000",Other,Not applicable / Not required,No,"Yes, all",Approved
35–44,Male,Married,0,Undergraduate degree,Business owner,3–5 years,"Rs.50,000–99,999",No,No existing loan,Agricultural,"Rs.1,000,000–4,999,999",Agriculture,Yes,No,"Yes, all",Approved
Below 25,Male,Married,0,Secondary,Private-sector employee,1–2 years,"Rs.100,000–149,999",No,No existing loan,Housing,"Rs.1,000,000–4,999,999",House purchase/construction,Yes,No,"Yes, all",Approved
35–44,Male,Single,3,Postgraduate degree,Government employee,3–5 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Personal,"Rs.10,000,000–24,999,999",Personal expenses,No,Yes,"Yes, all",Rejected
25–34,Male,Single,0,Diploma,Private-sector employee,More than 10 years,"Rs.250,000–399,999",No,No existing loan,Business,"Rs.50,000,000–74,999,999",Business investment,Yes,Yes,"Yes, all",Approved
25–34,Male,Widowed,4,Secondary,Private-sector employee,3–5 years,"Rs.400,000–599,999",No,No existing loan,Personal,"Rs.5,000,000–9,999,999",Personal expenses,No,Yes,"Yes, all",Approved
55–64,Prefer not to say,Married,2,Secondary,Private-sector employee,6–10 years,"Rs.400,000–599,999",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Personal expenses,No,Yes,"Yes, all",Rejected
65 or above,Male,Married,2,Undergraduate degree,Self-employed,6–10 years,"Rs.150,000–249,999",Yes,"Below Rs.10,000",Housing,"Rs.50,000,000–74,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
Below 25,Male,Married,2,Undergraduate degree,Government employee,3–5 years,"Rs.400,000–599,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,No,"Yes, all",Approved
65 or above,Male,Widowed,0,Undergraduate degree,Government employee,3–5 years,"Rs.400,000–599,999",No,No existing loan,Education,"Below Rs.500,000",Education,Yes,No,"Yes, all",Approved
25–34,Female,Single,0,Secondary,Retired,Not employed/business,"Rs.150,000–249,999",No,No existing loan,Business,"Rs.25,000,000–49,999,999",Business investment,Yes,Yes,"Yes, all",Rejected
45–54,Male,Married,4,Undergraduate degree,Private-sector employee,Less than 1 year,"Rs.400,000–599,999",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Other,No,No,"Yes, all",Rejected
25–34,Male,Married,0,Other,Private-sector employee,6–10 years,"Rs.250,000–399,999",No,No existing loan,Business,"Rs.10,000,000–24,999,999",Business investment,No,No,"Yes, all",Rejected
65 or above,Female,Single,1,Undergraduate degree,Self-employed,3–5 years,"Rs.150,000–249,999",No,No existing loan,Other,"Rs.5,000,000–9,999,999",Medical expenses,No,Yes,Not sure,Rejected
45–54,Female,Married,4,Undergraduate degree,Private-sector employee,Less than 1 year,"Rs.150,000–249,999",No,No existing loan,Vehicle,"Below Rs.500,000",Vehicle purchase,No,No,"Yes, all",Approved
45–54,Female,Divorced,3,Undergraduate degree,Government employee,3–5 years,"Rs.150,000–249,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,No,"Yes, all",Approved
55–64,Male,Married,2,Postgraduate degree,Government employee,Less than 1 year,"Rs.250,000–399,999",Yes,"Below Rs.10,000",Personal,"Rs.10,000,000–24,999,999",Personal expenses,Yes,No,"Yes, all",Rejected
25–34,Male,Married,2,Undergraduate degree,Government employee,1–2 years,"Rs.150,000–249,999",Yes,"Rs.25,000–49,999",Personal,"Rs.500,000–999,999",Debt consolidation,No,Yes,"Yes, all",Rejected
35–44,Male,Single,0,Postgraduate degree,Private-sector employee,1–2 years,"Rs.150,000–249,999",Yes,"Rs.10,000–24,999",Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,No,Yes,"Yes, all",Approved
45–54,Male,Divorced,2,Undergraduate degree,Self-employed,6–10 years,"Rs.150,000–249,999",No,No existing loan,Education,"Rs.5,000,000–9,999,999",Education,No,No,"Yes, all",Rejected
45–54,Male,Divorced,0,Undergraduate degree,Private-sector employee,1–2 years,"Rs.150,000–249,999",No,No existing loan,Business,"Rs.5,000,000–9,999,999",Business investment,Yes,No,Not sure,Rejected
65 or above,Female,Married,2,Postgraduate degree,Retired,Not employed/business,"Rs.50,000–99,999",Yes,"Rs.25,000–49,999",Personal,"Rs.500,000–999,999",Medical expenses,No,No,"Yes, all",Rejected
25–34,Female,Married,3,Diploma,Private-sector employee,More than 10 years,"Rs.100,000–149,999",No,No existing loan,Personal,"Below Rs.500,000",Personal expenses,No,No,"Yes, all",Approved
35–44,Male,Married,1,Undergraduate degree,Contract employee,1–2 years,"Rs.150,000–249,999",No,No existing loan,Business,"Rs.500,000–999,999",Business investment,No,No,"Yes, all",Rejected
Below 25,Female,Widowed,0,Undergraduate degree,Private-sector employee,3–5 years,"Rs.250,000–399,999",Yes,"Rs.25,000–49,999",Vehicle,"Rs.5,000,000–9,999,999",Vehicle purchase,Yes,Yes,"Yes, all",Rejected
35–44,Male,Divorced,0,Diploma,Contract employee,6–10 years,"Rs.400,000–599,999",No,No existing loan,Vehicle,"Rs.1,000,000–4,999,999",Vehicle purchase,Yes,Yes,"Yes, all",Approved
25–34,Female,Single,0,Undergraduate degree,Business owner,3–5 years,"Rs.150,000–249,999",No,No existing loan,Housing,"Rs.5,000,000–9,999,999",House purchase/construction,Yes,Yes,"Yes, all",Approved
55–64,Female,Married,3,Diploma,Government employee,3–5 years,"Rs.400,000–599,999",No,No existing loan,Personal,"Rs.10,000,000–24,999,999",Medical expenses,Yes,No,"Yes, all",Approved
35–44,Female,Married,1,Postgraduate degree,Other,More than 10 years,"Rs.50,000–99,999",Yes,"Rs.25,000–49,999",Personal,"Rs.5,000,000–9,999,999",Personal expenses,Yes,Yes,"Yes, all",Rejected
25–34,Female,Married,1,Diploma,Private-sector employee,Less than 1 year,"Rs.150,000–249,999",No,No existing loan,Personal,"Below Rs.500,000",Medical expenses,Yes,No,"Yes, all",Approved
35–44,Male,Married,3,Diploma,Private-sector employee,3–5 years,"Rs.250,000–399,999",Yes,"Rs.10,000–24,999",Housing,"Rs.5,000,000–9,999,999",House purchase/construction,Yes,Yes,"Yes, all",Approved
35–44,Male,Married,2,Undergraduate degree,Self-employed,1–2 years,"Rs.400,000–599,999",No,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,Yes,"Yes, all",Approved
25–34,Female,Single,2,No formal education,Self-employed,More than 10 years,"Rs.100,000–149,999",No,No existing loan,Education,"Rs.500,000–999,999",Education,No,Yes,"Yes, all",Rejected
25–34,Male,Single,0,Secondary,Self-employed,1–2 years,"Rs.50,000–99,999",No,No existing loan,Housing,"Rs.10,000,000–24,999,999",House purchase/construction,No,Yes,"Yes, all",Rejected
35–44,Female,Single,0,Diploma,Contract employee,More than 10 years,"Rs.150,000–249,999",No,No existing loan,Housing,"Rs.10,000,000–24,999,999",House purchase/construction,No,No,"Yes, all",Rejected
35–44,Female,Married,0,Diploma,Unemployed,Not employed/business,"Rs.100,000–149,999",No,No existing loan,Personal,"Rs.500,000–999,999",Debt consolidation,Not applicable / Not required,Yes,"Yes, all",Rejected
25–34,Male,Married,0,Undergraduate degree,Private-sector employee,More than 10 years,"Rs.250,000–399,999",Yes,"Rs.75,000–99,999",Personal,"Below Rs.500,000",Other,Not applicable / Not required,No,"Yes, all",Approved
25–34,Female,Single,2,Secondary,Self-employed,More than 10 years,"Rs.50,000–99,999",Yes,"Rs.25,000–49,999",Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,Yes,"Yes, all",Rejected
25–34,Female,Single,0,Diploma,Other,6–10 years,"Rs.400,000–599,999",Yes,"Rs.50,000–74,999",Vehicle,"Rs.5,000,000–9,999,999",Vehicle purchase,Yes,No,"Yes, all",Approved
55–64,Male,Single,2,Primary,Private-sector employee,6–10 years,"Rs.150,000–249,999",No,No existing loan,Vehicle,"Rs.500,000–999,999",Vehicle purchase,Yes,No,"Yes, all",Rejected
25–34,Female,Married,4,Diploma,Self-employed,6–10 years,"Rs.100,000–149,999",Yes,"Rs.10,000–24,999",Personal,"Rs.10,000,000–24,999,999",Debt consolidation,Yes,No,"Yes, all",Rejected
45–54,Female,Married,0,Secondary,Private-sector employee,More than 10 years,"Rs.600,000–999,999",No,No existing loan,Housing,"Below Rs.500,000",House purchase/construction,Yes,Yes,"Yes, all",Approved
65 or above,Female,Single,0,Undergraduate degree,Other,More than 10 years,"Rs.150,000–249,999",No,No existing loan,Education,"Rs.500,000–999,999",Education,No,Yes,"Yes, all",Rejected
25–34,Male,Married,4,Postgraduate degree,Contract employee,6–10 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Other,"Rs.1,000,000–4,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
25–34,Male,Married,1,Undergraduate degree,Private-sector employee,6–10 years,"Rs.100,000–149,999",Yes,"Rs.75,000–99,999",Personal,"Rs.5,000,000–9,999,999",Personal expenses,No,Yes,"Yes, all",Rejected
55–64,Male,Divorced,2,Undergraduate degree,Private-sector employee,6–10 years,"Rs.150,000–249,999",No,No existing loan,Agricultural,"Rs.10,000,000–24,999,999",Agriculture,No,No,"Yes, all",Rejected
25–34,Female,Single,3,Secondary,Private-sector employee,Less than 1 year,"Rs.250,000–399,999",No,No existing loan,Personal,"Below Rs.500,000",Debt consolidation,Not applicable / Not required,No,"Yes, all",Rejected
65 or above,Female,Single,1,Undergraduate degree,Private-sector employee,More than 10 years,"Rs.150,000–249,999",No,No existing loan,Business,"Rs.50,000,000–74,999,999",Business investment,Yes,Yes,"Yes, all",Rejected
55–64,Male,Single,4,Undergraduate degree,Private-sector employee,More than 10 years,"Rs.250,000–399,999",No,No existing loan,Personal,"Below Rs.500,000",Other,No,Yes,"Yes, all",Approved
55–64,Male,Married,0,Diploma,Private-sector employee,1–2 years,"Rs.50,000–99,999",No,No existing loan,Business,"Rs.25,000,000–49,999,999",Business investment,Yes,No,"Yes, all",Rejected
35–44,Male,Married,2,Postgraduate degree,Government employee,3–5 years,"Rs.600,000–999,999",No,No existing loan,Vehicle,"Rs.500,000–999,999",Vehicle purchase,No,No,"Yes, all",Approved
25–34,Female,Married,1,Postgraduate degree,Self-employed,Less than 1 year,"Rs.100,000–149,999",No,No existing loan,Agricultural,"Rs.500,000–999,999",Agriculture,No,No,"Yes, all",Approved
25–34,Female,Married,3,Diploma,Contract employee,1–2 years,"Rs.150,000–249,999",No,No existing loan,Personal,"Rs.500,000–999,999",Other,Yes,No,"Yes, all",Approved
25–34,Male,Single,3,Undergraduate degree,Contract employee,6–10 years,"Rs.400,000–599,999",Yes,"Rs.25,000–49,999",Business,"Rs.1,000,000–4,999,999",Business investment,Yes,No,"Yes, all",Approved
Below 25,Female,Married,0,Undergraduate degree,Business owner,6–10 years,"Rs.400,000–599,999",Yes,"Rs.50,000–74,999",Business,"Rs.25,000,000–49,999,999",Business investment,Yes,No,"Yes, all",Approved
25–34,Female,Married,3,Diploma,Business owner,3–5 years,"Rs.100,000–149,999",No,No existing loan,Other,"Rs.5,000,000–9,999,999",Personal expenses,Yes,No,"Yes, all",Rejected
25–34,Female,Single,3,Undergraduate degree,Retired,Not employed/business,"Rs.150,000–249,999",No,No existing loan,Personal,"Rs.5,000,000–9,999,999",Debt consolidation,No,No,"Yes, all",Rejected
35–44,Female,Single,0,Secondary,Private-sector employee,More than 10 years,"Rs.250,000–399,999",No,No existing loan,Agricultural,"Below Rs.500,000",Agriculture,Yes,No,"Yes, all",Approved
45–54,Male,Married,0,Diploma,Government employee,3–5 years,"Rs.600,000–999,999",No,No existing loan,Agricultural,"Rs.500,000–999,999",Agriculture,No,No,"Yes, all",Rejected
25–34,Female,Divorced,0,Undergraduate degree,Contract employee,1–2 years,"Rs.50,000–99,999",No,No existing loan,Agricultural,"Rs.500,000–999,999",Agriculture,No,Yes,"Yes, all",Approved
25–34,Female,Single,0,Postgraduate degree,Self-employed,6–10 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Housing,"Rs.100,000,000 or above",House purchase/construction,Yes,No,"Yes, all",Rejected
25–34,Female,Single,1,Diploma,Government employee,3–5 years,"Rs.400,000–599,999",Yes,"Rs.25,000–49,999",Business,"Rs.10,000,000–24,999,999",Business investment,Yes,No,"Yes, all",Approved
25–34,Female,Divorced,1,Other,Private-sector employee,3–5 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Housing,"Rs.10,000,000–24,999,999",House purchase/construction,No,No,"Yes, all",Rejected
35–44,Male,Married,0,Secondary,Contract employee,More than 10 years,"Rs.100,000–149,999",Yes,"Rs.50,000–74,999",Education,"Rs.500,000–999,999",Education,Yes,Yes,"Yes, all",Rejected
35–44,Male,Single,2,Secondary,Business owner,3–5 years,"Rs.400,000–599,999",No,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,Yes,"Yes, all",Approved
45–54,Male,Married,2,Secondary,Contract employee,Less than 1 year,"Rs.150,000–249,999",No,No existing loan,Housing,"Rs.10,000,000–24,999,999",House purchase/construction,No,No,"Yes, all",Rejected
35–44,Male,Married,1,Diploma,Retired,Not employed/business,"Rs.150,000–249,999",No,No existing loan,Business,"Rs.25,000,000–49,999,999",Business investment,Yes,Yes,"Yes, all",Rejected
